iter	Passed	Remaining
0	137	137506
1	139	69502
2	141	47041
3	143	35825
4	145	28942
5	147	24514
6	150	21327
7	151	18833
8	153	16878
9	154	15319
10	156	14042
11	158	13020
12	159	12113
13	161	11339
14	163	10724
15	167	10310
16	169	9800
17	171	9358
18	173	8941
19	174	8559
20	177	8286
21	180	8027
22	182	7757
23	184	7503
24	186	7260
25	188	7043
26	189	6829
27	190	6628
28	194	6516
29	196	6366
30	198	6204
31	200	6051
32	201	5904
33	203	5774
34	204	5645
35	206	5520
36	208	5414
37	209	5312
38	211	5210
39	213	5114
40	214	5015
41	215	4924
42	217	4838
43	218	4756
44	220	4674
45	221	4598
46	223	4530
47	225	4467
48	226	4404
49	228	4342
50	230	4296
51	232	4247
52	234	4191
53	236	4134
54	238	4092
55	240	4055
56	241	4003
57	243	3953
58	244	3904
59	246	3857
60	247	3817
61	249	3772
62	250	3729
63	252	3696
64	254	3658
65	255	3619
66	257	3580
67	258	3542
68	259	3505
69	261	3471
70	262	3437
71	264	3403
72	265	3370
73	267	3346
74	269	3318
75	270	3289
76	271	3260
77	273	3236
78	275	3212
79	277	3194
80	279	3167
81	280	3140
82	281	3107
83	283	3092
84	285	3069
85	286	3045
86	287	3021
87	289	2998
88	290	2977
89	292	2960
90	294	2938
91	295	2917
92	297	2904
93	299	2887
94	301	2867
95	302	2852
96	304	2831
97	305	2812
98	307	2794
99	308	2777
100	310	2759
101	312	2752
102	314	2738
103	315	2722
104	317	2705
105	318	2689
106	320	2675
107	322	2659
108	323	2644
109	324	2629
110	326	2616
111	328	2605
112	330	2592
113	331	2577
114	333	2562
115	334	2550
116	335	2535
117	338	2527
118	339	2515
119	341	2501
120	343	2498
121	345	2483
122	346	2471
123	348	2458
124	349	2446
125	351	2435
126	352	2424
127	354	2411
128	355	2400
129	357	2395
130	359	2385
131	361	2378
132	363	2366
133	364	2355
134	366	2345
135	367	2335
136	369	2324
137	370	2313
138	372	2305
139	374	2297
140	375	2287
141	376	2275
142	377	2264
143	379	2254
144	380	2244
145	382	2236
146	383	2227
147	385	2218
148	387	2211
149	389	2204
150	390	2195
151	391	2186
152	393	2176
153	394	2168
154	395	2158
155	397	2150
156	398	2141
157	400	2132
158	401	2125
